brand,model,year,price,currency,pub_date,title,url
Bavaria,S30,2022,185000.0,GBP,2022-08-09,"£185,000 Yacht Tour : Bavaria S30",https://www.youtube.com/watch?v=lrm8DT4L0Pc
Azimut,S6,2022,1400000.0,EUR,2022-08-07,€1.4 Million Yacht Tour : Azimut S6,https://www.youtube.com/watch?v=hPnptJ71ZVc
Oyster,495,2022,1250000.0,GBP,2022-07-31,£1.25 Million Yacht Tour : Oyster 495,https://www.youtube.com/watch?v=Duki-zQ9ed0
Princess,S78,2022,4300000.0,GBP,2022-07-08,£4.3 Million Yacht Tour : Princess S78,https://www.youtube.com/watch?v=1jAEhfxW3Ec
Nordhavn,68 NFB,2022,5000000.0,USD,2022-07-03,$5 Million Yacht Tour : Nordhavn 68 NFB,https://www.youtube.com/watch?v=OKA9_JkWEgE
Hanstaiger,X1,2022,4250000.0,EUR,2022-05-20,€4.25 Million Yacht Tour : Hanstaiger X1,https://www.youtube.com/watch?v=sEfxsd5xfVM
Galeon,500,2022,1200000.0,GBP,2022-01-23,£1.2 Million Yacht Tour : Galeon 500,https://www.youtube.com/watch?v=cOQfKU6KBmg
Fairline,Squadron 68,2022,2500000.0,GBP,2022-03-11,£2.5 Million Yacht Tour : Fairline Squadron 68,https://www.youtube.com/watch?v=FESUQ786yYA
Cranchi,78 Settantotto,2020,3300000.0,EUR,2020-01-26,"€3,300,000 Yacht Tour : Cranchi 78 Settantotto",https://www.youtube.com/watch?v=ONXZOOlmFbM
VisionF,80,2022,5400000.0,EUR,2022-07-24,€5.4 Million Yacht Tour : VisionF 80,https://www.youtube.com/watch?v=OVWvU7T86Zw
Silent,60,2022,,Not available,2022-07-12,Solar Powered Boat Sea Trial : Silent 60,https://www.youtube.com/watch?v=42lMXKasoQw
Princess,414,1987,97500.0,GBP,2022-07-19,"£97,500 Yacht Tour : 1987 Princess 414",https://www.youtube.com/watch?v=zq7Ef87NnPM
Oyster,575,2010,700000.0,GBP,2022-07-17,"£700,000 Yacht Tour : 2010 Oyster 575",https://www.youtube.com/watch?v=CfBfkAR0eec
Nimbus,C9,2021,170000.0,GBP,2022-07-26,"£170,000 Yacht Tour : 2021 Nimbus C9",https://www.youtube.com/watch?v=gjKEpDW-Dxc
Hanse,460,2022,500000.0,GBP,2022-06-07,"£500,000 Yacht Tour : Hanse 460",https://www.youtube.com/watch?v=g0xrifYdLKQ
X,Power 33C,2022,350000.0,GBP,2022-08-02,"£350,000 Yacht Tour : X Power 33C",https://www.youtube.com/watch?v=4CxP_Nazx1Q
Galeon,640,2020,1500000.0,GBP,2020-06-26,£1.5M Yacht Tour : Galeon 640,https://www.youtube.com/watch?v=o9U-tS-jgNY
Sunseeker,76 Yacht,2022,3000000.0,GBP,2022-04-19,£3 Million Yacht Tour : Sunseeker 76 Yacht,https://www.youtube.com/watch?v=tqczQ4ZR-go
Bluegame,BGX60,2022,3000000.0,EUR,2022-06-28,€3 Million Yacht Tour : Bluegame BGX60,https://www.youtube.com/watch?v=pi6v2isKUrk
Pelagic,77,2021,,Not available,2021-06-29,Sailing Exploration Vessel Full Tour : Pelagic 77,https://www.youtube.com/watch?v=NcnlO5Ol9rc
Setag,Refitted 2005 Sunseeker 75 Yacht,2022,1200000.0,GBP,2022-07-05,£1.2 Million Yacht Tour : Setag Refitted 2005 Sunseeker 75 Yacht,https://www.youtube.com/watch?v=LT6vA7zmrqI
Princess,X80,2022,8500000.0,USD,2022-02-01,$8.5 Million Yacht Tour : Princess X80,https://www.youtube.com/watch?v=NF-UZ_XkVjI
Sunseeker,Predator 74 XPS,2021,3100000.0,GBP,2021-06-22,£3.1 Million Yacht Tour : Sunseeker Predator 74 XPS,https://www.youtube.com/watch?v=f1V-DMDGMKk
&amp;,Sea Trial,2020,5000000.0,USD,2020-03-06,"$5,000,000 Princess F70 Yacht Tour &amp; Sea Trial",https://www.youtube.com/watch?v=p__e-TJ9kzQ
Aquila,32,2022,380000.0,GBP,2022-06-21,"£380,000 Yacht Tour : Aquila 32",https://www.youtube.com/watch?v=ntNhWXPbvAc
Silent,60,2022,3400000.0,EUR,2022-06-14,€3.4 Million Electric Yacht Tour : Silent 60,https://www.youtube.com/watch?v=BXxxZuf2EVE
Huisman,65 Custom,1995,1000000.0,GBP,2022-06-12,£1 Million Yacht Tour : 1995/2018 Huisman 65 Custom,https://www.youtube.com/watch?v=ZRg4vjupDWc
Silent,Yacht 55,2022,2250000.0,EUR,2022-05-08,€2.25 Million Electric Yacht Tour : Silent Yacht 55,https://www.youtube.com/watch?v=aWU8LaJWxsk
Galeon,460 Fly,2022,1000000.0,GBP,2022-06-05,£1 Million Yacht Tour : Galeon 460 Fly,https://www.youtube.com/watch?v=h6jYSfPPxvg
Marex,330,2022,330000.0,GBP,2022-04-05,"£330,000 Yacht Tour : Marex 330",https://www.youtube.com/watch?v=S4bIT3nB7XI
NC14,,2017,350000.0,GBP,2022-04-01,"£350,000 Yacht Tour : 2017Jeanneau NC14",https://www.youtube.com/watch?v=gebG_-krIOo
Axopar,45,2022,,,2022-05-03,€1/2 Million Yacht Tour and Sea Trial : Axopar 45,https://www.youtube.com/watch?v=JDHDDwxANd0
